iter	Logloss
0	0.4654151639
1	0.3386607851
2	0.2670192338
3	0.2229905095
4	0.1971220926
5	0.1806315898
6	0.1631824932
7	0.1521207157
8	0.1423113626
9	0.1321200049
10	0.1237431235
11	0.1152516623
12	0.1082606095
13	0.1035735217
14	0.09941850518
15	0.09658424864
16	0.09165004666
17	0.08687860574
18	0.08385886822
19	0.0792978283
20	0.07509050392
21	0.07272336851
22	0.07040617394
23	0.068059271
24	0.06573837079
25	0.06447699693
26	0.06263571226
27	0.06054562264
28	0.05852465615
29	0.05712144014
30	0.05574660682
31	0.05437442613
32	0.05238960149
33	0.0508768736
34	0.04936255017
35	0.0475850033
36	0.04627667441
37	0.04508812026
38	0.04421172068
39	0.04332231453
40	0.04198109201
41	0.04093685938
42	0.03956475379
43	0.03908242166
44	0.03815887611
45	0.03765087212
46	0.03684547179
47	0.03618379212
48	0.03526096625
49	0.03463708778
50	0.03407596507
51	0.03352181727
52	0.03285073714
53	0.03229792454
54	0.0317800703
55	0.03125777529
56	0.03065919946
57	0.02999925049
58	0.029480348
59	0.02901582502
60	0.02853172404
61	0.02812017636
62	0.02761704387
63	0.02722715565
64	0.02683690706
65	0.02643265461
66	0.02618893957
67	0.02582297024
68	0.02550799306
69	0.02502392167
70	0.02468836304
71	0.02426242921
72	0.02380736
73	0.02359852404
74	0.02330412301
75	0.02288454967
76	0.02253943471
77	0.02227109132
78	0.02189370861
79	0.02162444302
80	0.02129261652
81	0.02102313949
82	0.02063547851
83	0.02036108308
84	0.02007382894
85	0.01982752505
86	0.01959809521
87	0.01937001576
88	0.01914736746
89	0.01894783626
90	0.01865998258
91	0.01845013008
92	0.018252851
93	0.01809151909
94	0.01796719127
95	0.01777777408
96	0.01759014902
97	0.01734640512
98	0.01716923595
99	0.01690337823
100	0.01658540776
101	0.01632158545
102	0.01617999985
103	0.01592630432
104	0.01581113203
105	0.01570140544
106	0.01547680581
107	0.01529003543
108	0.01515952756
109	0.01500635175
110	0.01488500819
111	0.01470814753
112	0.01454692047
113	0.01438436183
114	0.01421549408
115	0.01409169775
116	0.01396419256
117	0.01382587351
118	0.01372448583
119	0.01359995783
120	0.01351158635
121	0.01336767696
122	0.01326553407
123	0.01318785101
124	0.01307424583
125	0.0129401241
126	0.01286639799
127	0.01273183091
128	0.01260513135
129	0.01251062237
130	0.01242543958
131	0.01229531713
132	0.01213766543
133	0.01203893253
134	0.0119656827
135	0.01188152383
136	0.01173169396
137	0.0116426963
138	0.01157151999
139	0.01150040584
140	0.01138870173
141	0.01131896061
142	0.01122396974
143	0.0111303861
144	0.01107199314
145	0.01098892777
146	0.01088184323
147	0.01081935379
148	0.0106785832
149	0.01060036466
150	0.01052960028
151	0.01045336891
152	0.01034766757
153	0.01029497314
154	0.0102258769
155	0.01013489559
156	0.01004166799
157	0.009980090106
158	0.00986911602
159	0.009794766908
160	0.009638783294
161	0.009540250347
162	0.009436707165
163	0.009370046172
164	0.009285690702
165	0.009228257593
166	0.009166785381
167	0.009084052129
168	0.009032472074
169	0.008973764322
170	0.008907408912
171	0.008827924595
172	0.00878741059
173	0.008705173388
174	0.008660250015
175	0.008617562744
176	0.008573283133
177	0.008536524798
178	0.008480539253
179	0.008421991225
180	0.008382036291
181	0.008308911456
182	0.008276275008
183	0.008234883637
184	0.008172937328
185	0.008127119983
186	0.008076623093
187	0.008033597277
188	0.007997780498
189	0.007951160591
190	0.00791761826
191	0.007874246196
192	0.007834332427
193	0.007795020322
194	0.007727191413
195	0.00767491762
196	0.007674908002
197	0.007636650167
198	0.007593617271
199	0.007564523061
200	0.007522993824
201	0.007467005706
202	0.007408358974
203	0.007353834364
204	0.007319183257
205	0.007298547394
206	0.007261360051
207	0.007215560666
208	0.007215510783
209	0.007165947416
210	0.007131147489
211	0.007089829953
212	0.007056340904
213	0.007029052527
214	0.006991911345
215	0.00695070577
216	0.006907262791
217	0.006907212427
218	0.006907170959
219	0.006906810811
220	0.006906798005
221	0.006879550034
222	0.006826222904
223	0.006792442934
224	0.006766523875
225	0.006715029434
226	0.006689952118
227	0.00665179429
228	0.006608705753
229	0.006570852868
230	0.006538429001
231	0.006503399258
232	0.006467751735
233	0.006437162933
234	0.006399379309
235	0.006363012905
236	0.006333235521
237	0.00630451422
238	0.006273217235
239	0.006240372446
240	0.006220527591
241	0.006220474658
242	0.006199387549
243	0.006168924493
244	0.00614476038
245	0.006118339012
246	0.006093093152
247	0.006068787513
248	0.006048317174
249	0.006028098743
